component,table,column,data_type,column_desc,table_desc,is_pii
BIZ,CCP_CARD,EXPLANATION,VARCHAR,EXPLANATION 항목,CCP_CARD 테이블,N
BIZ,CCP_CARD,CORP_CARD_MANAGE_PART_CD,VARCHAR,CORP_CARD_MANAGE_PART_CD (코드),CCP_CARD 테이블,N
BIZ,CCP_CARD,OPERATION_TYPE,VARCHAR,OPERATION_TYPE 항목,CCP_CARD 테이블,N
BIZ,CCP_CARD,AFFILIATE_TYPE,VARCHAR,AFFILIATE_TYPE 항목,CCP_CARD 테이블,N
BIZ,CCP_CARD,WALLET_USER_ID,VARCHAR,WALLET_USER_ID (식별자),CCP_CARD 테이블,N
BIZ,CCP_CARD,RECEIVE_YN,CHAR,RECEIVE_YN (여부),CCP_CARD 테이블,N
BIZ,CCP_CARD,ACTIVE_REQUESTER,VARCHAR,ACTIVE_REQUESTER 항목,CCP_CARD 테이블,N
BIZ,CCP_CARD,PORTAL_SERVICE_GROUP_ID,VARCHAR,PORTAL_SERVICE_GROUP_ID (식별자),CCP_CARD 테이블,N
BIZ,CCP_MEMBER,MEMBER_ID,VARCHAR,MEMBER_ID (식별자),CCP_MEMBER 테이블,N
BIZ,CCP_MEMBER,NAME,VARCHAR,NAME 항목,CCP_MEMBER 테이블,N
BIZ,CCP_MEMBER,PARTNER_ID,VARCHAR,PARTNER_ID (식별자),CCP_MEMBER 테이블,N
BIZ,CCP_MEMBER,LOGIN_FAILCOUNT,VARCHAR,LOGIN_FAILCOUNT 항목,CCP_MEMBER 테이블,N
BIZ,CCP_MEMBER,STATUS,VARCHAR,STATUS 항목,CCP_MEMBER 테이블,N
BIZ,CCP_MEMBER,MEMBER_GROUP_SEQ,VARCHAR,MEMBER_GROUP_SEQ 항목,CCP_MEMBER 테이블,N
BIZ,CCP_MEMBER,PASSWD_RESET_YN,CHAR,PASSWD_RESET_YN (여부),CCP_MEMBER 테이블,N
BIZ,CCP_MEMBER,PRIVACY_VIEW_YN,CHAR,PRIVACY_VIEW_YN (여부),CCP_MEMBER 테이블,N
BIZ,CCP_MEMBER,LOGIN_ID,VARCHAR,LOGIN_ID (식별자),CCP_MEMBER 테이블,N
BIZ,CCP_MEMBER,LANGUAGE,VARCHAR,LANGUAGE 항목,CCP_MEMBER 테이블,N
BIZ,CCP_MEMBER,PARENT_PARTNER_ID,VARCHAR,PARENT_PARTNER_ID (식별자),CCP_MEMBER 테이블,N
BIZ,CCP_MEMBER,PORTAL_SERVICE_GROUP_ID,VARCHAR,PORTAL_SERVICE_GROUP_ID (식별자),CCP_MEMBER 테이블,N
BIZ,CCP_MEMBER,BONBU_ID,VARCHAR,BONBU_ID (식별자),CCP_MEMBER 테이블,N
BIZ,CCP_MEMBER,GIFT_CERT_PARTNER_ID,VARCHAR,GIFT_CERT_PARTNER_ID (식별자),CCP_MEMBER 테이블,N
BIZ,CCP_MEMBER,PRIVACY_AGREE_YN,CHAR,PRIVACY_AGREE_YN (여부),CCP_MEMBER 테이블,N
BIZ,CCP_MEMBER,SECURITY_AGREE_YN,CHAR,SECURITY_AGREE_YN (여부),CCP_MEMBER 테이블,N
BIZ,CCP_MEMBER_GROUP,SEQ,VARCHAR,SEQ 항목,CCP_MEMBER_GROUP 테이블,N
BIZ,CCP_MEMBER_GROUP,NAME,VARCHAR,NAME 항목,CCP_MEMBER_GROUP 테이블,N
BIZ,CCP_MEMBER_GROUP,PARENTS_SEQ,VARCHAR,PARENTS_SEQ 항목,CCP_MEMBER_GROUP 테이블,N
BIZ,CCP_MEMBER_GROUP,ACL,VARCHAR,ACL 항목,CCP_MEMBER_GROUP 테이블,N
BIZ,CCP_MEMBER_GROUP,EXPLANATION,VARCHAR,EXPLANATION 항목,CCP_MEMBER_GROUP 테이블,N
BIZ,CCP_MEMBER_GROUP,PORTAL_SERVICE_GROUP_ID,VARCHAR,PORTAL_SERVICE_GROUP_ID (식별자),CCP_MEMBER_GROUP 테이블,N
BIZ,CCP_MEMBER_LOG,SEQ,VARCHAR,SEQ 항목,CCP_MEMBER_LOG 테이블,N
BIZ,CCP_MEMBER_LOG,CRUD,VARCHAR,CRUD 항목,CCP_MEMBER_LOG 테이블,N
BIZ,CCP_MEMBER_LOG,ACTIVITY_URL,VARCHAR,ACTIVITY_URL 항목,CCP_MEMBER_LOG 테이블,N
BIZ,CCP_MEMBER_LOG,EXPLANATION,VARCHAR,EXPLANATION 항목,CCP_MEMBER_LOG 테이블,N
BIZ,CCP_MEMBER_LOG,IP,VARCHAR,IP 항목,CCP_MEMBER_LOG 테이블,N
BIZ,CCP_MEMBER_LOG,HOST,VARCHAR,HOST (상태),CCP_MEMBER_LOG 테이블,N
BIZ,CCP_MEMBER_LOG,MEMBER_ID,VARCHAR,MEMBER_ID (식별자),CCP_MEMBER_LOG 테이블,N
BIZ,CCP_PARTNER,PARTNER_ID,VARCHAR,PARTNER_ID (식별자),CCP_PARTNER 테이블,N
BIZ,CCP_PARTNER,NAME,VARCHAR,NAME 항목,CCP_PARTNER 테이블,N
BIZ,CCP_PARTNER,STATUS,VARCHAR,STATUS 항목,CCP_PARTNER 테이블,N
BIZ,CCP_PARTNER,BUSINESS_REG_NO,BIGINT,BUSINESS_REG_NO (번호),CCP_PARTNER 테이블,N
BIZ,CCP_PARTNER,RESERVATION_POINT,VARCHAR,RESERVATION_POINT 항목,CCP_PARTNER 테이블,N
BIZ,CCP_PARTNER,RESERVATION_AMOUNT,BIGINT,RESERVATION_AMOUNT 항목,CCP_PARTNER 테이블,N
BIZ,CCP_PARTNER,ASP_ID,VARCHAR,ASP_ID (식별자),CCP_PARTNER 테이블,N
BIZ,CCP_PARTNER,PORTAL_SERVICE_GROUP_ID,VARCHAR,PORTAL_SERVICE_GROUP_ID (식별자),CCP_PARTNER 테이블,N
BIZ,CCP_PARTNER,ROLE_CD,VARCHAR,ROLE_CD (코드),CCP_PARTNER 테이블,N
BIZ,CCP_PARTNER,PARENT_PARTNER_ID,VARCHAR,PARENT_PARTNER_ID (식별자),CCP_PARTNER 테이블,N
BIZ,CCP_PARTNER,SERVICE_START_DATE,TIMESTAMP,SERVICE_START_DATE 항목,CCP_PARTNER 테이블,N
BIZ,CCP_PRODUCT,SVC_ID,VARCHAR,SVC_ID (식별자),CCP_PRODUCT 테이블,N
BIZ,CCP_PRODUCT,SEQ,VARCHAR,SEQ 항목,CCP_PRODUCT 테이블,N
BIZ,CCP_PRODUCT,PARTNER_ID,VARCHAR,PARTNER_ID (식별자),CCP_PRODUCT 테이블,N
BIZ,CCP_PRODUCT,AUTO_RECHARGE_YN,CHAR,AUTO_RECHARGE_YN (여부),CCP_PRODUCT 테이블,N
BIZ,CCP_PRODUCT,AUTO_RECHARGER_SEQ,VARCHAR,AUTO_RECHARGER_SEQ 항목,CCP_PRODUCT 테이블,N
BIZ,CCP_PRODUCT,AUTO_RECHARGE_TYPE,VARCHAR,AUTO_RECHARGE_TYPE 항목,CCP_PRODUCT 테이블,N
BIZ,CCP_PRODUCT,AUTO_RECHARGE_UNIT,VARCHAR,AUTO_RECHARGE_UNIT 항목,CCP_PRODUCT 테이블,N
BIZ,CCP_PRODUCT,AUTO_RECHARGE_DATE_MONTH,TIMESTAMP,AUTO_RECHARGE_DATE_MONTH 항목,CCP_PRODUCT 테이블,N
BIZ,CCP_PRODUCT,AUTO_RECHARGE_BALANCE,VARCHAR,AUTO_RECHARGE_BALANCE 항목,CCP_PRODUCT 테이블,N
BIZ,CCP_PRODUCT,USE_STATUS,VARCHAR,USE_STATUS 항목,CCP_PRODUCT 테이블,N
BIZ,CCP_PRODUCT,AUTO_RECHARGE_DATE_DAY,TIMESTAMP,AUTO_RECHARGE_DATE_DAY 항목,CCP_PRODUCT 테이블,N
BIZ,CCP_PRODUCT,AUTO_RECHARGE_AMOUNT,BIGINT,AUTO_RECHARGE_AMOUNT 항목,CCP_PRODUCT 테이블,N
BIZ,CCP_PRODUCT,AUTO_RECHARGE_LIMIT_AMOUNT,BIGINT,AUTO_RECHARGE_LIMIT_AMOUNT 항목,CCP_PRODUCT 테이블,N
BIZ,CCP_PRODUCT,OPERATION_TYPE,VARCHAR,OPERATION_TYPE 항목,CCP_PRODUCT 테이블,N
BIZ,CCP_PRODUCT,AFFILIATE_TYPE,VARCHAR,AFFILIATE_TYPE 항목,CCP_PRODUCT 테이블,N
BIZ,CCP_PRODUCT,PORTAL_SERVICE_GROUP_ID,VARCHAR,PORTAL_SERVICE_GROUP_ID (식별자),CCP_PRODUCT 테이블,N
BIZ,CCP_PRODUCT,SHIPPING_TYPE,VARCHAR,SHIPPING_TYPE 항목,CCP_PRODUCT 테이블,N
BIZ,CCP_PRODUCT,DEFAULT_PARTNER_YN,CHAR,DEFAULT_PARTNER_YN (여부),CCP_PRODUCT 테이블,N
BIZ,CCP_PRODUCT_MANAGER,MEMBER_ID,VARCHAR,MEMBER_ID (식별자),CCP_PRODUCT_MANAGER 테이블,N
BIZ,CCP_PRODUCT_MANAGER,PRODUCT_SEQ,VARCHAR,PRODUCT_SEQ 항목,CCP_PRODUCT_MANAGER 테이블,N
BIZ,CCP_PRODUCT_MANAGER,AUTHORITY_PRICE_YN,CHAR,AUTHORITY_PRICE_YN (여부),CCP_PRODUCT_MANAGER 테이블,N
BIZ,CCP_PRODUCT_MANAGER,AUTHORITY_APPROVAL_YN,CHAR,AUTHORITY_APPROVAL_YN (여부),CCP_PRODUCT_MANAGER 테이블,N
BIZ,CCP_PRODUCT_MANAGER,CARDCASH_POLICY_ID,VARCHAR,CARDCASH_POLICY_ID (식별자),CCP_PRODUCT_MANAGER 테이블,N
BIZ,CCP_PRODUCT_MANAGER,CARDCASH_POLICY_NAME,VARCHAR,CARDCASH_POLICY_NAME 항목,CCP_PRODUCT_MANAGER 테이블,N
BIZ,CCP_PRODUCT_MANAGER,CARDCASH_POLICY_TYPE,VARCHAR,CARDCASH_POLICY_TYPE 항목,CCP_PRODUCT_MANAGER 테이블,N
BIZ,CCP_PRODUCT_MANAGER,CARDCASH_POLICY_SUBTYPE,VARCHAR,CARDCASH_POLICY_SUBTYPE 항목,CCP_PRODUCT_MANAGER 테이블,N
BIZ,CCP_PRODUCT_MANAGER,ACCEPTED_GENERAL_MEMBER_YN,CHAR,ACCEPTED_GENERAL_MEMBER_YN (여부),CCP_PRODUCT_MANAGER 테이블,N
BIZ,CCP_RECHARGER,PARTNER_ID,VARCHAR,PARTNER_ID (식별자),CCP_RECHARGER 테이블,N
BIZ,CCP_RECHARGER,SEQ,VARCHAR,SEQ 항목,CCP_RECHARGER 테이블,N
BIZ,CCP_RECHARGER,PLAYER_ID,VARCHAR,PLAYER_ID (식별자),CCP_RECHARGER 테이블,N
BIZ,CCP_RECHARGER,PORTAL_SERVICE_GROUP_ID,VARCHAR,PORTAL_SERVICE_GROUP_ID (식별자),CCP_RECHARGER 테이블,N
BIZ,RCS_APPMEMBER_REG_HISTORY,PARTNER_ID,VARCHAR,PARTNER_ID (식별자),RCS_APPMEMBER_REG_HISTORY 테이블,N
BIZ,RCS_APPMEMBER_REG_HISTORY,MEMBER_ID,VARCHAR,MEMBER_ID (식별자),RCS_APPMEMBER_REG_HISTORY 테이블,N
BIZ,RCS_APPMEMBER_REG_HISTORY,WALLET_USER_ID,VARCHAR,WALLET_USER_ID (식별자),RCS_APPMEMBER_REG_HISTORY 테이블,N
BIZ,RCS_APPMEMBER_REG_HISTORY,PORTAL_SERVICE_GROUP_ID,VARCHAR,PORTAL_SERVICE_GROUP_ID (식별자),RCS_APPMEMBER_REG_HISTORY 테이블,N
BIZ,RCS_APPMEMBER_REG_HISTORY,SEQ,VARCHAR,SEQ 항목,RCS_APPMEMBER_REG_HISTORY 테이블,N
BIZ,RCS_BONBU,BONBU_ID,VARCHAR,BONBU_ID (식별자),RCS_BONBU 테이블,N
BIZ,RCS_BONBU,NAME,VARCHAR,NAME 항목,RCS_BONBU 테이블,N
BIZ,RCS_BONBU,STATUS,VARCHAR,STATUS 항목,RCS_BONBU 테이블,N
BIZ,RCS_BONBU,BUSINESS_REG_NO,BIGINT,BUSINESS_REG_NO (번호),RCS_BONBU 테이블,N
BIZ,RCS_BONBU,ASP_ID,VARCHAR,ASP_ID (식별자),RCS_BONBU 테이블,N
BIZ,RCS_BONBU,PORTAL_SERVICE_GROUP_ID,VARCHAR,PORTAL_SERVICE_GROUP_ID (식별자),RCS_BONBU 테이블,N
BIZ,RCS_BONBU,ASP_NAME,VARCHAR,ASP_NAME 항목,RCS_BONBU 테이블,N
BIZ,RCS_BONBU,KA_ID,VARCHAR,KA_ID (식별자),RCS_BONBU 테이블,N
BIZ,RCS_BONBU,KA_NAME,VARCHAR,KA_NAME 항목,RCS_BONBU 테이블,N
BIZ,RCS_BONBU,ADMIN_CODE,VARCHAR,ADMIN_CODE 항목,RCS_BONBU 테이블,N
BIZ,RCS_BONBU,LEGAL_CODE,VARCHAR,LEGAL_CODE 항목,RCS_BONBU 테이블,N
BIZ,RCS_BONBU_MAPPING,BONBU_ID,VARCHAR,BONBU_ID (식별자),RCS_BONBU_MAPPING 테이블,N
BIZ,RCS_BONBU_MAPPING,SEQ,VARCHAR,SEQ 항목,RCS_BONBU_MAPPING 테이블,N
BIZ,RCS_BONBU_MAPPING,PARTNER_ID,VARCHAR,PARTNER_ID (식별자),RCS_BONBU_MAPPING 테이블,N
BIZ,RCS_BONBU_MAPPING,PORTAL_SERVICE_GROUP_ID,VARCHAR,PORTAL_SERVICE_GROUP_ID (식별자),RCS_BONBU_MAPPING 테이블,N
BIZD,contract,ID,VARCHAR,ID (식별자),contract 테이블,N
BIZD,contract,BIZ_NUMBER,VARCHAR,BIZ_NUMBER 항목,contract 테이블,N
BIZD,contract,MERCHANT_NAME,VARCHAR,MERCHANT_NAME 항목,contract 테이블,N
BIZD,contract,ADDRESS,VARCHAR,ADDRESS 항목,contract 테이블,N
BIZD,contract,BIZ_TYPE_AND_NAME,VARCHAR,BIZ_TYPE_AND_NAME 항목,contract 테이블,N
BIZD,contract,SIGNATURE_IMG,VARCHAR,SIGNATURE_IMG 항목,contract 테이블,N
BIZD,contract,WANNA_BE_KONA_YN,CHAR,WANNA_BE_KONA_YN (여부),contract 테이블,N
BIZD,contract,ZIP_CODE,VARCHAR,ZIP_CODE 항목,contract 테이블,N
BIZD,contract,SI,VARCHAR,SI 항목,contract 테이블,N
BIZD,contract,SGG,VARCHAR,SGG 항목,contract 테이블,N
BIZD,contract,MERCHANT_TYPE,VARCHAR,MERCHANT_TYPE 항목,contract 테이블,N
BIZD,contract,GROUP_ID,VARCHAR,GROUP_ID (식별자),contract 테이블,N
BIZD,contract,OWNER,VARCHAR,OWNER 항목,contract 테이블,N
BIZD,contract,KA_ID,VARCHAR,KA_ID (식별자),contract 테이블,N
BIZD,contract,TEL1,VARCHAR,TEL1 항목,contract 테이블,N
BIZD,contract,TEL2,VARCHAR,TEL2 항목,contract 테이블,N
BIZD,contract,SOCIAL_NO,BIGINT,SOCIAL_NO (번호),contract 테이블,N
BIZD,contract,SEX,VARCHAR,SEX 항목,contract 테이블,N
BIZD,contract,TMS_STATUS,VARCHAR,TMS_STATUS 항목,contract 테이블,N
BIZD,contract,STATUS,VARCHAR,STATUS 항목,contract 테이블,N
BIZD,contract,STATUS_DETAIL,VARCHAR,STATUS_DETAIL 항목,contract 테이블,N
BIZD,contract,MERCHANT_ID,VARCHAR,MERCHANT_ID (식별자),contract 테이블,N
BIZD,contract,REG_TYPE,VARCHAR,REG_TYPE 항목,contract 테이블,N
BIZD,contract,BANK_CODE,VARCHAR,BANK_CODE 항목,contract 테이블,N
BIZD,contract,BANK_NAME,VARCHAR,BANK_NAME 항목,contract 테이블,N
BIZD,contract,CANPAY_YN,CHAR,CANPAY_YN (여부),contract 테이블,N
BIZD,contract,EXTINFO_TRNS_UNIQ_NO,BIGINT,EXTINFO_TRNS_UNIQ_NO (번호),contract 테이블,N
BIZD,contract,REG_TYPE_SUB,VARCHAR,REG_TYPE_SUB 항목,contract 테이블,N
BIZD,contract,MIGRATION_TARGET,VARCHAR,MIGRATION_TARGET 항목,contract 테이블,N
BIZD,contract,PRIVATE_TERM_YN,CHAR,PRIVATE_TERM_YN (여부),contract 테이블,N
BIZD,contract,EXTINFO_KB_SEQ_NO,BIGINT,EXTINFO_KB_SEQ_NO (번호),contract 테이블,N
BIZD,contract,EXTINFO_BANK_CODE,VARCHAR,EXTINFO_BANK_CODE 항목,contract 테이블,N
BIZD,contract,EXTINFO_BANK_NAME,VARCHAR,EXTINFO_BANK_NAME 항목,contract 테이블,N
BIZD,contract,MIGRATION_REASON,VARCHAR,MIGRATION_REASON 항목,contract 테이블,N
BIZD,contract,BID,VARCHAR,BID (식별자),contract 테이블,N
BIZD,contract,QR_MERCHANT_YN,CHAR,QR_MERCHANT_YN (여부),contract 테이블,N
BIZD,contract,BIZ_LIC_FILENAME,VARCHAR,BIZ_LIC_FILENAME 항목,contract 테이블,N
BIZD,contract,BIZ_LIC_FILEPATH,VARCHAR,BIZ_LIC_FILEPATH 항목,contract 테이블,N
BIZD,contract,ACCOUNT_FILENAME,VARCHAR,ACCOUNT_FILENAME 항목,contract 테이블,N
BIZD,contract,ACCOUNT_FILEPATH,VARCHAR,ACCOUNT_FILEPATH 항목,contract 테이블,N
BIZD,contract,DISCOUNT_MERCHANT_YN,CHAR,DISCOUNT_MERCHANT_YN (여부),contract 테이블,N
BIZD,contract,DISCOUNT_VALUE,VARCHAR,DISCOUNT_VALUE 항목,contract 테이블,N
BIZD,contract,REJECT_REASON,VARCHAR,REJECT_REASON 항목,contract 테이블,N
BIZD,contract,RE_REQUEST,VARCHAR,RE_REQUEST (상태),contract 테이블,N
BIZD,contract,CANCEL_REASON,VARCHAR,CANCEL_REASON 항목,contract 테이블,N
BIZD,contract,ESIGN_APLCT_NO,BIGINT,ESIGN_APLCT_NO (번호),contract 테이블,N
BIZD,contract,SYS_CRE_ID,VARCHAR,SYS_CRE_ID (식별자),contract 테이블,N
BIZD,contract,SYS_UPD_ID,VARCHAR,SYS_UPD_ID (식별자),contract 테이블,N
BIZD,CONTRACT_HISTORY,HISTORY_ID,VARCHAR,HISTORY_ID (식별자),CONTRACT_HISTORY 테이블,N
BIZD,CONTRACT_HISTORY,CONTRACT_ID,VARCHAR,CONTRACT_ID (식별자),CONTRACT_HISTORY 테이블,N
BIZD,CONTRACT_HISTORY,CONTRACT_STATUS,VARCHAR,CONTRACT_STATUS 항목,CONTRACT_HISTORY 테이블,N
BIZD,CONTRACT_HISTORY,WRITER_ID,VARCHAR,WRITER_ID (식별자),CONTRACT_HISTORY 테이블,N
BIZD,CONTRACT_MERCHANT,ID,VARCHAR,ID (식별자),CONTRACT_MERCHANT 테이블,N
BIZD,CONTRACT_MERCHANT,GROUP_ID,VARCHAR,GROUP_ID (식별자),CONTRACT_MERCHANT 테이블,N
BIZD,CONTRACT_MERCHANT,OWNER,VARCHAR,OWNER 항목,CONTRACT_MERCHANT 테이블,N
BIZD,CONTRACT_MERCHANT,CONTRACT_ID,VARCHAR,CONTRACT_ID (식별자),CONTRACT_MERCHANT 테이블,N
BIZD,CONTRACT_MERCHANT,BIZ_NUMBER,VARCHAR,BIZ_NUMBER 항목,CONTRACT_MERCHANT 테이블,N
BIZD,CONTRACT_MERCHANT,MERCHANT_ID,VARCHAR,MERCHANT_ID (식별자),CONTRACT_MERCHANT 테이블,N
BIZD,CONTRACT_MERCHANT,STATUS_DETAIL,VARCHAR,STATUS_DETAIL 항목,CONTRACT_MERCHANT 테이블,N
BIZD,CONTRACT_MERCHANT,REG_TYPE_SUB,VARCHAR,REG_TYPE_SUB 항목,CONTRACT_MERCHANT 테이블,N
BIZD,CONTRACT_MERCHANT,STATUS,VARCHAR,STATUS 항목,CONTRACT_MERCHANT 테이블,N
BIZD,CONTRACT_MERCHANT,MERCHANT_TYPE,VARCHAR,MERCHANT_TYPE 항목,CONTRACT_MERCHANT 테이블,N
BIZD,OWNER,OWNER,VARCHAR,OWNER 항목,OWNER 테이블,N
BIZD,OWNER,SERVICE_CENTER,VARCHAR,SERVICE_CENTER 항목,OWNER 테이블,N
BIZD,OWNER,OWNER_TITLE,VARCHAR,OWNER_TITLE 항목,OWNER 테이블,N
BIZD,OWNER,STATUS,VARCHAR,STATUS 항목,OWNER 테이블,N
BIZD,OWNER,GROUP_ID,VARCHAR,GROUP_ID (식별자),OWNER 테이블,N
BIZD,OWNER,CONTENT,VARCHAR,CONTENT 항목,OWNER 테이블,N
BIZD,OWNER,KA_ID,VARCHAR,KA_ID (식별자),OWNER 테이블,N
BIZD,OWNER,KA_FILENAME,VARCHAR,KA_FILENAME 항목,OWNER 테이블,N
BIZD,OWNER,SHOW_KONA_YN,CHAR,SHOW_KONA_YN (여부),OWNER 테이블,N
BIZD,OWNER,SHOULD_KONA_YN,CHAR,SHOULD_KONA_YN (여부),OWNER 테이블,N
BIZD,OWNER,OWNER_TITLE_SUB,VARCHAR,OWNER_TITLE_SUB 항목,OWNER 테이블,N
BIZD,OWNER,ASP_ID,VARCHAR,ASP_ID (식별자),OWNER 테이블,N
BIZD,OWNER,MERCHANT_CHANNEL,VARCHAR,MERCHANT_CHANNEL 항목,OWNER 테이블,N
BIZD,OWNER,QUERY_ID_EXCEPT,VARCHAR,QUERY_ID_EXCEPT 항목,OWNER 테이블,N
BIZD,OWNER,QUERY_ID_GRANT,VARCHAR,QUERY_ID_GRANT 항목,OWNER 테이블,N
BIZD,OWNER,BIZ_TYPE_EXCEPT,VARCHAR,BIZ_TYPE_EXCEPT 항목,OWNER 테이블,N
BIZD,OWNER,SHOW_PRIVATE_TERM_YN,CHAR,SHOW_PRIVATE_TERM_YN (여부),OWNER 테이블,N
BIZD,OWNER,GROUP_ID_GRANT,VARCHAR,GROUP_ID_GRANT 항목,OWNER 테이블,N
BIZD,OWNER,SALES_TYPE_EXCEPT,VARCHAR,SALES_TYPE_EXCEPT 항목,OWNER 테이블,N
BIZD,OWNER,BIZTYPE_GROUP_ID_EXCEPT,VARCHAR,BIZTYPE_GROUP_ID_EXCEPT 항목,OWNER 테이블,N
BIZD,OWNER,SALES_BIZTYPE_GROUP_ID_GRANT,VARCHAR,SALES_BIZTYPE_GROUP_ID_GRANT 항목,OWNER 테이블,N
BIZD,OWNER,SHOW_RCS_YN,CHAR,SHOW_RCS_YN (여부),OWNER 테이블,N
BIZD,OWNER,GROUP_ID_EXCEPT,VARCHAR,GROUP_ID_EXCEPT 항목,OWNER 테이블,N
BIZD,OWNER,ADD_KONA_YN,CHAR,ADD_KONA_YN (여부),OWNER 테이블,N
BIZD,OWNER,MAPPED_YN,CHAR,MAPPED_YN (여부),OWNER 테이블,N
BIZD,OWNER,SPECIAL_GROUP_ID_GRANT,VARCHAR,SPECIAL_GROUP_ID_GRANT 항목,OWNER 테이블,N
BIZD,OWNER,ADDRESS_SEARCH_KEYWORD,VARCHAR,ADDRESS_SEARCH_KEYWORD 항목,OWNER 테이블,N
BIZD,OWNER,AREA_CODE,VARCHAR,AREA_CODE 항목,OWNER 테이블,N
BIZD,OWNER,SYS_CRE_ID,VARCHAR,SYS_CRE_ID (식별자),OWNER 테이블,N
BIZD,OWNER,SYS_UPD_ID,VARCHAR,SYS_UPD_ID (식별자),OWNER 테이블,N
BIZD,OWNER,SHOW_QR_YN,CHAR,SHOW_QR_YN (여부),OWNER 테이블,N
BIZD,OWNER_MAPPED,ASP_ID,VARCHAR,ASP_ID (식별자),OWNER_MAPPED 테이블,N
BIZD,OWNER_MAPPED,GROUP_ID,VARCHAR,GROUP_ID (식별자),OWNER_MAPPED 테이블,N
BIZD,OWNER_MAPPED,OWNER,VARCHAR,OWNER 항목,OWNER_MAPPED 테이블,N
BIZD,OWNER_MAPPED,QUERY_ID_EXCEPT,VARCHAR,QUERY_ID_EXCEPT 항목,OWNER_MAPPED 테이블,N
BIZD,OWNER_MAPPED,GROUP_ID_GRANT,VARCHAR,GROUP_ID_GRANT 항목,OWNER_MAPPED 테이블,N
BIZD,OWNER_MAPPED,BIZTYPE_GROUP_ID_EXCEPT,VARCHAR,BIZTYPE_GROUP_ID_EXCEPT 항목,OWNER_MAPPED 테이블,N
BIZD,OWNER_MAPPED,SALES_TYPE_EXCEPT,VARCHAR,SALES_TYPE_EXCEPT 항목,OWNER_MAPPED 테이블,N
BIZD,OWNER_MAPPED,SALES_BIZTYPE_GROUP_ID_GRANT,VARCHAR,SALES_BIZTYPE_GROUP_ID_GRANT 항목,OWNER_MAPPED 테이블,N
BIZD,OWNER_MAPPED,MERCHANT_CHANNEL,VARCHAR,MERCHANT_CHANNEL 항목,OWNER_MAPPED 테이블,N
BIZD,OWNER_MAPPED,OWNER_TITLE_SUB,VARCHAR,OWNER_TITLE_SUB 항목,OWNER_MAPPED 테이블,N
BIZD,OWNER_MAPPED,ADD_KONA_YN,CHAR,ADD_KONA_YN (여부),OWNER_MAPPED 테이블,N
BIZD,OWNER_MAPPED,ADDRESS_SEARCH_KEYWORD,VARCHAR,ADDRESS_SEARCH_KEYWORD 항목,OWNER_MAPPED 테이블,N
BIZD,OWNER_MAPPED,ID,VARCHAR,ID (식별자),OWNER_MAPPED 테이블,N
BIZD,OWNER_MAPPED,QUERY_ID_GRANT,VARCHAR,QUERY_ID_GRANT 항목,OWNER_MAPPED 테이블,N
