component,table,column,reason_code,reason_note
CS,TB_PG_KIBNET,RMK_CN,UNFIT,분석 요건에 부적합한 컬럼
CS,TB_PG_OB_WITHDRAW,RRNO,PII_EXCLUDED,개인정보 — 이관 대상 제외
CS,TB_PG_OB_WITHDRAW,RMK_CN,UNFIT,분석 요건에 부적합한 컬럼
CS,TB_PG_OB_WITHDRAW,TMP_WORK_VAL,ETC,운영계 전용 내부 항목
CTI,CONTACT,HOME_ADDR,PII_EXCLUDED,개인정보 — 이관 대상 제외
CTI,CONTACT,EMAIL_ADDR,PII_EXCLUDED,개인정보 — 이관 대상 제외
CTI,TB_LEGACY_UNMIGRATED,,NO_REQUEST,이관 요청에 포함되지 않은 테이블
CVS,CERT_VERIFICATION_INFO,HOME_ADDR,PII_EXCLUDED,개인정보 — 이관 대상 제외
DAP,DAP_CRTV,TEL_NO,PII_EXCLUDED,개인정보 — 이관 대상 제외
DAP,DAP_CRTV,HOME_ADDR,PII_EXCLUDED,개인정보 — 이관 대상 제외
DAP,DAP_CRTV,INTERNAL_MEMO,ETC,운영계 전용 내부 항목
DAP,DAP_CRTV_AUD,CUST_NM,PII_EXCLUDED,개인정보 — 이관 대상 제외
DAP,DAP_CRTV_AUD,RRNO,PII_EXCLUDED,개인정보 — 이관 대상 제외
DAP,DAP_MBR_APH_CRTV_AGG,BANK_ACCT_NO,PII_EXCLUDED,개인정보 — 이관 대상 제외
DAP,DAP_MBR_APH_CRTV_AGG,LEGACY_FLAG,PENDING,차기 이관 예정
DAP,DAP_MBR_APH_HIST,TEL_NO,PII_EXCLUDED,개인정보 — 이관 대상 제외
DAP,DAP_MBR_APH_HIST,EMAIL_ADDR,PII_EXCLUDED,개인정보 — 이관 대상 제외
DEFAULT,AUDIT_IMPALA,BANK_ACCT_NO,PII_EXCLUDED,개인정보 — 이관 대상 제외
DEFAULT,AUDIT_IMPALA,RRNO,PII_EXCLUDED,개인정보 — 이관 대상 제외
EAS,EAS_CRD_PKP_GM,RMK_CN,UNFIT,분석 요건에 부적합한 컬럼
EAS,EAS_CRD_PKP_GM,BATCH_SEQ,PENDING,차기 이관 예정
EAS,EAS_PNT_CVSN_CMPX_TR,TEL_NO,PII_EXCLUDED,개인정보 — 이관 대상 제외
EAS,EAS_PNT_CVSN_CMPX_TR,LEGACY_FLAG,PENDING,차기 이관 예정
EAS,EAS_PNT_CVSN_CMPX_TR,RMK_CN,PENDING,차기 이관 예정
EAS,NH_POINT_TRAN_HISTORY,TMP_WORK_VAL,ETC,운영계 전용 내부 항목
EAS,POINT_TRAN,INTERNAL_MEMO,PENDING,차기 이관 예정
EDM,PARTNER,BANK_ACCT_NO,PII_EXCLUDED,개인정보 — 이관 대상 제외
EDM,POINT_PROVIDER,RRNO,PII_EXCLUDED,개인정보 — 이관 대상 제외
EDM,POINT_TRANSFER,TEL_NO,PII_EXCLUDED,개인정보 — 이관 대상 제외
EMS,EMS_BYDT_BYMBR_STTC,RRNO,PII_EXCLUDED,개인정보 — 이관 대상 제외
EMS,EMS_CHL,LEGACY_FLAG,ETC,운영계 전용 내부 항목
EMS,EMS_ENV_MLG_TC_DEF,TMP_WORK_VAL,UNFIT,분석 요건에 부적합한 컬럼
EMS,EMS_ENV_MLG_TC_DEF,LEGACY_FLAG,PENDING,차기 이관 예정
EMS,EMS_MLG_CVSN_HIST,BANK_ACCT_NO,PII_EXCLUDED,개인정보 — 이관 대상 제외
EMS,EMS_MLG_CVSN_HIST,RRNO,PII_EXCLUDED,개인정보 — 이관 대상 제외
EMS,MISSION_PAY_TRANSACTION,EMAIL_ADDR,PII_EXCLUDED,개인정보 — 이관 대상 제외
EMS,MISSION_PAY_TRANSACTION,TMP_WORK_VAL,UNFIT,분석 요건에 부적합한 컬럼
EMS,MISSION_PAY_TRANSACTION,LEGACY_FLAG,PENDING,차기 이관 예정
EMS,MISSION_PROC,BANK_ACCT_NO,PII_EXCLUDED,개인정보 — 이관 대상 제외
EMS,MISSION_PROC,BATCH_SEQ,UNFIT,분석 요건에 부적합한 컬럼
EMS,TB_LEGACY_UNMIGRATED,,NO_REQUEST,이관 요청에 포함되지 않은 테이블
ESIGN,ESI_BZPL,RRNO,PII_EXCLUDED,개인정보 — 이관 대상 제외
ESIGN,ESI_EPG_MC_SVC,HOME_ADDR,PII_EXCLUDED,개인정보 — 이관 대상 제외
ESIGN,ESI_EPG_MC_SVC,INTERNAL_MEMO,UNFIT,분석 요건에 부적합한 컬럼
IAS,IAS_CARD_LASTTX,EMAIL_ADDR,PII_EXCLUDED,개인정보 — 이관 대상 제외
IAS,IAS_CARD_PAN,TEL_NO,PII_EXCLUDED,개인정보 — 이관 대상 제외
IAS,IAS_CARD_PAN,HOME_ADDR,PII_EXCLUDED,개인정보 — 이관 대상 제외
IAS,IAS_CARD_PAN,RMK_CN,ETC,운영계 전용 내부 항목
IAS,IAS_CARD_PAN,INTERNAL_MEMO,UNFIT,분석 요건에 부적합한 컬럼
IAS,IAS_COMPLEX_TRAN,RRNO,PII_EXCLUDED,개인정보 — 이관 대상 제외
IAS,IAS_COMPLEX_TRAN,RMK_CN,ETC,운영계 전용 내부 항목
IAS,ias_contract_dct_amt,LEGACY_FLAG,UNFIT,분석 요건에 부적합한 컬럼
IAS,IAS_DISCOUNT_AMT,BANK_ACCT_NO,PII_EXCLUDED,개인정보 — 이관 대상 제외
IAS,IAS_DISCOUNT_AMT,HOME_ADDR,PII_EXCLUDED,개인정보 — 이관 대상 제외
IAS,IAS_DISCOUNT_AMT_D,TMP_WORK_VAL,PENDING,차기 이관 예정
IAS,ias_info,BATCH_SEQ,PENDING,차기 이관 예정
IAS,IAS_KONA_DCT_AMT_D,CUST_NM,PII_EXCLUDED,개인정보 — 이관 대상 제외
IAS,IAS_KONA_DCT_AMT_D,RRNO,PII_EXCLUDED,개인정보 — 이관 대상 제외
IAS,IAS_KONA_DCT_AMT_D,LEGACY_FLAG,ETC,운영계 전용 내부 항목
IAS,IAS_KONA_DCT_AMT_D,BATCH_SEQ,UNFIT,분석 요건에 부적합한 컬럼
IAS,IAS_KONA_DCT_AMT_M,CUST_NM,PII_EXCLUDED,개인정보 — 이관 대상 제외
IAS,IAS_KONA_DCT_AMT_M,TMP_WORK_VAL,UNFIT,분석 요건에 부적합한 컬럼
IAS,IAS_PAY_AMT_M,INTERNAL_MEMO,ETC,운영계 전용 내부 항목
IAS,IAS_RCG_AMT_M,TEL_NO,PII_EXCLUDED,개인정보 — 이관 대상 제외
IAS,IAS_RCG_AMT_M,INTERNAL_MEMO,UNFIT,분석 요건에 부적합한 컬럼
IAS,IAS_REFUND,HOME_ADDR,PII_EXCLUDED,개인정보 — 이관 대상 제외
IAS,IAS_REFUND,BANK_ACCT_NO,PII_EXCLUDED,개인정보 — 이관 대상 제외
IAS,IAS_REP_MERCHANT_AMT,RRNO,PII_EXCLUDED,개인정보 — 이관 대상 제외
IAS,IAS_REP_MERCHANT_TMN,TEL_NO,PII_EXCLUDED,개인정보 — 이관 대상 제외
IAS,IAS_TRANSACTION,TEL_NO,PII_EXCLUDED,개인정보 — 이관 대상 제외
IAS,IAS_TRANSACTION,EMAIL_ADDR,PII_EXCLUDED,개인정보 — 이관 대상 제외
IBF,TB_LEGACY_UNMIGRATED,,NO_REQUEST,이관 요청에 포함되지 않은 테이블
KBC,KBC_WPTL_CRD_CASH,EMAIL_ADDR,PII_EXCLUDED,개인정보 — 이관 대상 제외
KBC,KBC_WPTL_CRD_ORDR,TMP_WORK_VAL,ETC,운영계 전용 내부 항목
KBC,KBC_WPTL_PRD,EMAIL_ADDR,PII_EXCLUDED,개인정보 — 이관 대상 제외
KBC,KBC_WPTL_PRD,TMP_WORK_VAL,ETC,운영계 전용 내부 항목
KBC,TB_LEGACY_UNMIGRATED,,NO_REQUEST,이관 요청에 포함되지 않은 테이블
KCPS,CUSTOM_POLICY,HOME_ADDR,PII_EXCLUDED,개인정보 — 이관 대상 제외
KCPS,CUSTOM_POLICY,RRNO,PII_EXCLUDED,개인정보 — 이관 대상 제외
KCPS,KCON_PLCY,RRNO,PII_EXCLUDED,개인정보 — 이관 대상 제외
KCPS,KCON_PLCY,TEL_NO,PII_EXCLUDED,개인정보 — 이관 대상 제외
KCPS,KCPS_ADMIN_HISTORY_DISABLED,TEL_NO,PII_EXCLUDED,개인정보 — 이관 대상 제외
KCPS,KCPS_ADMIN_HISTORY_DISABLED,RMK_CN,UNFIT,분석 요건에 부적합한 컬럼
KCPS,KCPS_ADMIN_HISTORY_DISABLED,LEGACY_FLAG,ETC,운영계 전용 내부 항목
KCPS,POLICY_CONDITION_MAPPING,LEGACY_FLAG,PENDING,차기 이관 예정
KNOTIFY,KAKAO_SMS_TEMPLATE,EMAIL_ADDR,PII_EXCLUDED,개인정보 — 이관 대상 제외
KNOTIFY,KAKAO_SMS_TEMPLATE,HOME_ADDR,PII_EXCLUDED,개인정보 — 이관 대상 제외
KNOTIFY,KAKAO_SMS_TEMPLATE,TMP_WORK_VAL,ETC,운영계 전용 내부 항목
KNOTIFY,KAKAO_SMS_TEMPLATE,INTERNAL_MEMO,PENDING,차기 이관 예정
KNOTIFY,SMS_NOTIFICATION_DETAILS,BANK_ACCT_NO,PII_EXCLUDED,개인정보 — 이관 대상 제외
KNOTIFY,TB_LEGACY_UNMIGRATED,,NO_REQUEST,이관 요청에 포함되지 않은 테이블
KODASP,AFFILIATE_ASP,LEGACY_FLAG,PENDING,차기 이관 예정
KODASP,AUTO_RECHARGE_POLICY,TMP_WORK_VAL,UNFIT,분석 요건에 부적합한 컬럼
KODASP,BC_ONLINE_MERCHANT,EMAIL_ADDR,PII_EXCLUDED,개인정보 — 이관 대상 제외
KODASP,BIZ_TYPE_GROUP,EMAIL_ADDR,PII_EXCLUDED,개인정보 — 이관 대상 제외
KODASP,BIZ_TYPE_GROUP,TMP_WORK_VAL,ETC,운영계 전용 내부 항목
KODASP,BIZ_TYPE_GROUP,LEGACY_FLAG,ETC,운영계 전용 내부 항목
KODASP,CARD_POINT_POLICY,TMP_WORK_VAL,UNFIT,분석 요건에 부적합한 컬럼
KODASP,CARD_POINT_SVC_MAPPING,EMAIL_ADDR,PII_EXCLUDED,개인정보 — 이관 대상 제외
KODASP,CARD_POINT_SVC_MAPPING,BATCH_SEQ,PENDING,차기 이관 예정
KODASP,COMPOSITE_PAYMENT_PRIORITY,CUST_NM,PII_EXCLUDED,개인정보 — 이관 대상 제외
KODASP,CONTRACT,BATCH_SEQ,ETC,운영계 전용 내부 항목
KODASP,COUPON_POLICY,BATCH_SEQ,UNFIT,분석 요건에 부적합한 컬럼
KODASP,DCNT_BUNDLE_PRODUCT_MAPPING,BANK_ACCT_NO,PII_EXCLUDED,개인정보 — 이관 대상 제외
KODASP,DCNT_BUNDLE_PRODUCT_MAPPING,RRNO,PII_EXCLUDED,개인정보 — 이관 대상 제외
KODASP,DCNT_GROUP_MAPPING,RMK_CN,PENDING,차기 이관 예정
KODASP,DISCOUNT_PROVIDER,TEL_NO,PII_EXCLUDED,개인정보 — 이관 대상 제외
KODASP,DISCOUNT_PROVIDER,BATCH_SEQ,ETC,운영계 전용 내부 항목
KODASP,EPAY_SVC_CODE,RRNO,PII_EXCLUDED,개인정보 — 이관 대상 제외
KODASP,EPAY_SVC_CODE,HOME_ADDR,PII_EXCLUDED,개인정보 — 이관 대상 제외
KODASP,EPAY_SVC_CODE,LEGACY_FLAG,UNFIT,분석 요건에 부적합한 컬럼
KODASP,EXTERNAL_SERVICE,RRNO,PII_EXCLUDED,개인정보 — 이관 대상 제외
KODASP,EXTERNAL_SERVICE,HOME_ADDR,PII_EXCLUDED,개인정보 — 이관 대상 제외
KODASP,FEE_RATE,HOME_ADDR,PII_EXCLUDED,개인정보 — 이관 대상 제외
KODASP,FRAUD_DETECTION_POLICY,RRNO,PII_EXCLUDED,개인정보 — 이관 대상 제외
KODASP,GROUP_MAPPING,HOME_ADDR,PII_EXCLUDED,개인정보 — 이관 대상 제외
KODASP,GROUP_MAPPING,RRNO,PII_EXCLUDED,개인정보 — 이관 대상 제외
KODASP,GROUP_MAPPING,TMP_WORK_VAL,ETC,운영계 전용 내부 항목
KODASP,GROUP_MAPPING_HISTORY,EMAIL_ADDR,PII_EXCLUDED,개인정보 — 이관 대상 제외
KODASP,GROUP_MAPPING_HISTORY,HOME_ADDR,PII_EXCLUDED,개인정보 — 이관 대상 제외
KODASP,GROUP_MAPPING_HISTORY,LEGACY_FLAG,PENDING,차기 이관 예정
KODASP,GROUP_MAPPING_HISTORY,BATCH_SEQ,ETC,운영계 전용 내부 항목
KODASP,KB_MERCHANT,RRNO,PII_EXCLUDED,개인정보 — 이관 대상 제외
KODASP,KB_MERCHANT_HISTORY,TMP_WORK_VAL,PENDING,차기 이관 예정
KODASP,KB_MERCHANT_HISTORY,LEGACY_FLAG,ETC,운영계 전용 내부 항목
KODASP,KOMSCO_MERCHANT,RRNO,PII_EXCLUDED,개인정보 — 이관 대상 제외
KODASP,MERCHANT,LEGACY_FLAG,PENDING,차기 이관 예정
KODASP,MERCHANT_CHANGE_NOTICE,RRNO,PII_EXCLUDED,개인정보 — 이관 대상 제외
KODASP,NH_MERCHANT,EMAIL_ADDR,PII_EXCLUDED,개인정보 — 이관 대상 제외
KODASP,NH_MERCHANT,BANK_ACCT_NO,PII_EXCLUDED,개인정보 — 이관 대상 제외
KODASP,PAYCO_MERCHANT,INTERNAL_MEMO,PENDING,차기 이관 예정
KODASP,PLATFORM_POLICY,LEGACY_FLAG,UNFIT,분석 요건에 부적합한 컬럼
KODASP,PLATFORM_POLICY,RMK_CN,UNFIT,분석 요건에 부적합한 컬럼
KODASP,PLAYER_DETAIL_INFO,BATCH_SEQ,UNFIT,분석 요건에 부적합한 컬럼
KODASP,PLAYER_DETAIL_INFO,RMK_CN,UNFIT,분석 요건에 부적합한 컬럼
KODASP,PLAYER_GROUP,RRNO,PII_EXCLUDED,개인정보 — 이관 대상 제외
KODASP,PLAYER_GROUP,CUST_NM,PII_EXCLUDED,개인정보 — 이관 대상 제외
KODASP,PNT_DPSTS_AGG,RRNO,PII_EXCLUDED,개인정보 — 이관 대상 제외
KODASP,PNT_DPSTS_AGG,HOME_ADDR,PII_EXCLUDED,개인정보 — 이관 대상 제외
KODASP,PNT_DPSTS_AGG,INTERNAL_MEMO,ETC,운영계 전용 내부 항목
KODASP,POINT_DISPLAY_INFO_D,EMAIL_ADDR,PII_EXCLUDED,개인정보 — 이관 대상 제외
KODASP,POINT_POLICY,TEL_NO,PII_EXCLUDED,개인정보 — 이관 대상 제외
KODASP,POINT_POLICY,BANK_ACCT_NO,PII_EXCLUDED,개인정보 — 이관 대상 제외
KODASP,POINT_POLICY_ALLOWANCE,RMK_CN,UNFIT,분석 요건에 부적합한 컬럼
KODASP,POINT_PROVIDER,TEL_NO,PII_EXCLUDED,개인정보 — 이관 대상 제외
KODASP,POINT_PROVIDER,HOME_ADDR,PII_EXCLUDED,개인정보 — 이관 대상 제외
KODASP,RC_DPSTS_AGG,EMAIL_ADDR,PII_EXCLUDED,개인정보 — 이관 대상 제외
KODASP,RC_DPSTS_AGG,CUST_NM,PII_EXCLUDED,개인정보 — 이관 대상 제외
KODASP,RECHARGER_POINT_POLICY,RRNO,PII_EXCLUDED,개인정보 — 이관 대상 제외
KODASP,RECHARGER_POINT_POLICY,CUST_NM,PII_EXCLUDED,개인정보 — 이관 대상 제외
KODASP,RECHARGER_POINT_POLICY,RMK_CN,UNFIT,분석 요건에 부적합한 컬럼
KODASP,RECHARGE_POLICY,HOME_ADDR,PII_EXCLUDED,개인정보 — 이관 대상 제외
KODASP,REFUND_POLICY,INTERNAL_MEMO,UNFIT,분석 요건에 부적합한 컬럼
KODASP,REMITTANCE_POLICY,RMK_CN,UNFIT,분석 요건에 부적합한 컬럼
KODASP,SAMSUNG_MERCHANT_HISTORY,BATCH_SEQ,UNFIT,분석 요건에 부적합한 컬럼
KODASP,SAMSUNG_MERCHANT_HISTORY,INTERNAL_MEMO,PENDING,차기 이관 예정
KODASP,SERVICE,BANK_ACCT_NO,PII_EXCLUDED,개인정보 — 이관 대상 제외
KODASP,SERVICE,LEGACY_FLAG,UNFIT,분석 요건에 부적합한 컬럼
KODASP,SERVICE,INTERNAL_MEMO,PENDING,차기 이관 예정
KODASP,SERVICE_DETAIL,TMP_WORK_VAL,PENDING,차기 이관 예정
KODASP,SERVICE_PROVIDER,TMP_WORK_VAL,PENDING,차기 이관 예정
KODASP,SHINHAN_MERCHANT,RRNO,PII_EXCLUDED,개인정보 — 이관 대상 제외
KODASP,SHINHAN_MERCHANT,BANK_ACCT_NO,PII_EXCLUDED,개인정보 — 이관 대상 제외
KODASP,SSUMPASS_MERCHANT,HOME_ADDR,PII_EXCLUDED,개인정보 — 이관 대상 제외
KODASP,SSUMPASS_MERCHANT,LEGACY_FLAG,PENDING,차기 이관 예정
KODASP,SSUMPASS_MERCHANT_HISTORY,HOME_ADDR,PII_EXCLUDED,개인정보 — 이관 대상 제외
KODASP,SSUMPASS_MERCHANT_HISTORY,BANK_ACCT_NO,PII_EXCLUDED,개인정보 — 이관 대상 제외
KODASP,TIMESLOT,CUST_NM,PII_EXCLUDED,개인정보 — 이관 대상 제외
KPS,ADMIN_TRAN,TEL_NO,PII_EXCLUDED,개인정보 — 이관 대상 제외
KPS,KPS_PNT_ITG_CLT_TR,HOME_ADDR,PII_EXCLUDED,개인정보 — 이관 대상 제외
KPS,KPS_PNT_ITG_CLT_TR,CUST_NM,PII_EXCLUDED,개인정보 — 이관 대상 제외
KPS,MB_GFCT,INTERNAL_MEMO,ETC,운영계 전용 내부 항목
KPS,MB_GFCT_TR,BANK_ACCT_NO,PII_EXCLUDED,개인정보 — 이관 대상 제외
KPS,MB_GFCT_TR,RMK_CN,UNFIT,분석 요건에 부적합한 컬럼
KPS,MB_GFCT_TR,LEGACY_FLAG,UNFIT,분석 요건에 부적합한 컬럼
KPS,PNT_DISC_GRADE,EMAIL_ADDR,PII_EXCLUDED,개인정보 — 이관 대상 제외
KPS,PNT_DISC_GRADE,HOME_ADDR,PII_EXCLUDED,개인정보 — 이관 대상 제외
KPS,PNT_DISC_GRADE_HISTORY,RRNO,PII_EXCLUDED,개인정보 — 이관 대상 제외
KPS,PNT_TRAN,TMP_WORK_VAL,PENDING,차기 이관 예정
KSTS,EXPIRY_REMIND,HOME_ADDR,PII_EXCLUDED,개인정보 — 이관 대상 제외
KSTS,EXPIRY_REMIND,BANK_ACCT_NO,PII_EXCLUDED,개인정보 — 이관 대상 제외
KSTS,EXPIRY_REMIND,RMK_CN,PENDING,차기 이관 예정
KSTS,MC_MAPPING,BANK_ACCT_NO,PII_EXCLUDED,개인정보 — 이관 대상 제외
KSTS,MC_MAPPING,TEL_NO,PII_EXCLUDED,개인정보 — 이관 대상 제외
KSTS,MC_MAPPING,BATCH_SEQ,UNFIT,분석 요건에 부적합한 컬럼
KSTS,MC_MAPPING,LEGACY_FLAG,UNFIT,분석 요건에 부적합한 컬럼
KSTS,MILEAGE_CARD,CUST_NM,PII_EXCLUDED,개인정보 — 이관 대상 제외
KSTS,MILEAGE_CARD,EMAIL_ADDR,PII_EXCLUDED,개인정보 — 이관 대상 제외
KSTS,MILEAGE_POLICY,RMK_CN,UNFIT,분석 요건에 부적합한 컬럼
KSTS,STAMP_CARD,HOME_ADDR,PII_EXCLUDED,개인정보 — 이관 대상 제외
KSTS,STAMP_VARIOUS,CUST_NM,PII_EXCLUDED,개인정보 — 이관 대상 제외
KSTS,STAMP_VARIOUS,RRNO,PII_EXCLUDED,개인정보 — 이관 대상 제외
LGMS,GAME_ROUND,BANK_ACCT_NO,PII_EXCLUDED,개인정보 — 이관 대상 제외
LGMS,GAME_ROUND,TEL_NO,PII_EXCLUDED,개인정보 — 이관 대상 제외
LGMS,TB_LEGACY_UNMIGRATED,,NO_REQUEST,이관 요청에 포함되지 않은 테이블
LOP,BRAND_HISTORY,TEL_NO,PII_EXCLUDED,개인정보 — 이관 대상 제외
LOP,BRAND_HISTORY,RRNO,PII_EXCLUDED,개인정보 — 이관 대상 제외
LOP,EXT_RECYCLE_INFO,CUST_NM,PII_EXCLUDED,개인정보 — 이관 대상 제외
LOP,MADE_IN_MEMO,LEGACY_FLAG,ETC,운영계 전용 내부 항목
LOP,MEMO_POLICY,LEGACY_FLAG,PENDING,차기 이관 예정
