an_component,an_table,an_column,op_component,op_table,op_column,source_expr
BIZ,CCP_CARD,crd_end_rqs_dtl_dttm,BIZ,CCP_CARD,,"from_unixtime(unix_timestamp(SUSPEND_DATE, 'yyyy/MM/dd HH:mm:ss'))"
BIZ,CCP_CARD,ort_type_cd,BIZ,CCP_CARD,OPERATION_TYPE,
BIZ,CCP_CARD,CORP_SVC_AL_TYPE_CD,BIZ,CCP_CARD,AFFILIATE_TYPE,
BIZ,CCP_CARD,mbr_id,BIZ,CCP_CARD,WALLET_USER_ID,
BIZ,CCP_CARD,crd_tak_yn,BIZ,CCP_CARD,RECEIVE_YN,
BIZ,CCP_CARD,act_rqs_owr_dv_cd,BIZ,CCP_CARD,ACTIVE_REQUESTER,
BIZ,CCP_CARD,bp_svc_grp_id,BIZ,CCP_CARD,PORTAL_SERVICE_GROUP_ID,
BIZ,CCP_MEMBER,BP_OPR_ID,BIZ,CCP_MEMBER,MEMBER_ID,
BIZ,CCP_MEMBER,OPR_NM,BIZ,CCP_MEMBER,NAME,
BIZ,CCP_MEMBER,SYS_CRE_DTTM,BIZ,CCP_MEMBER,,"from_unixtime(to_unix_timestamp(REG_DATE, 'yyyy/MM/dd HH:mm:ss'))"
BIZ,CCP_MEMBER,SYS_UPD_DTTM,BIZ,CCP_MEMBER,,"from_unixtime(to_unix_timestamp(UPT_DATE, 'yyyy/MM/dd HH:mm:ss'))"
BIZ,CCP_MEMBER,PTN_ID,BIZ,CCP_MEMBER,PARTNER_ID,
BIZ,CCP_MEMBER,FNL_LGIN_DTL_DTTM,BIZ,CCP_MEMBER,,"from_unixtime(to_unix_timestamp(LASTLOGIN_DATE, 'yyyy/MM/dd HH:mm:ss'))"
BIZ,CCP_MEMBER,PSWD_UPD_DTL_DTTM,BIZ,CCP_MEMBER,,"from_unixtime(to_unix_timestamp(PASSWD_UPT_DATE, 'yyyy/MM/dd HH:mm:ss'))"
BIZ,CCP_MEMBER,LAST_LGIN_DTL_DTTM,BIZ,CCP_MEMBER,LOGIN_FAILCOUNT,
BIZ,CCP_MEMBER,OPR_ACC_ACT_ST_CD,BIZ,CCP_MEMBER,STATUS,
BIZ,CCP_MEMBER,BP_OPR_GRP_ID,BIZ,CCP_MEMBER,MEMBER_GROUP_SEQ,
BIZ,CCP_MEMBER,PSWD_INIT_YN,BIZ,CCP_MEMBER,PASSWD_RESET_YN,
BIZ,CCP_MEMBER,PSNL_INFO_INQ_PSBL_YN,BIZ,CCP_MEMBER,PRIVACY_VIEW_YN,
BIZ,CCP_MEMBER,LGIN_ID,BIZ,CCP_MEMBER,LOGIN_ID,
BIZ,CCP_MEMBER,MTN_IDFR_CD,BIZ,CCP_MEMBER,LANGUAGE,
BIZ,CCP_MEMBER,HIER_PTN_ID,BIZ,CCP_MEMBER,PARENT_PARTNER_ID,
BIZ,CCP_MEMBER,BP_SVC_GRP_ID,BIZ,CCP_MEMBER,PORTAL_SERVICE_GROUP_ID,
BIZ,CCP_MEMBER,HDQ_KA_ID,BIZ,CCP_MEMBER,BONBU_ID,
BIZ,CCP_MEMBER,PRVC_MGMT_KA_ID,BIZ,CCP_MEMBER,GIFT_CERT_PARTNER_ID,
BIZ,CCP_MEMBER,PSNL_INFO_TT_AGRM_DTL_DTTM,BIZ,CCP_MEMBER,,"from_unixtime(to_unix_timestamp(PRIVACY_AGREE_DATE, 'yyyy/MM/dd HH:mm:ss'))"
BIZ,CCP_MEMBER,PSNL_INFO_TT_AGRM_YN,BIZ,CCP_MEMBER,PRIVACY_AGREE_YN,
BIZ,CCP_MEMBER,SECR_WTOH_AGRM_DTL_DTTM,BIZ,CCP_MEMBER,,"from_unixtime(to_unix_timestamp(SECURITY_AGREE_DATE, 'yyyy/MM/dd HH:mm:ss'))"
BIZ,CCP_MEMBER,PISP_AGRM_YN,BIZ,CCP_MEMBER,SECURITY_AGREE_YN,
BIZ,CCP_MEMBER_GROUP,BP_OPR_GRP_ID,BIZ,CCP_MEMBER_GROUP,SEQ,
BIZ,CCP_MEMBER_GROUP,OPR_GRP_NM,BIZ,CCP_MEMBER_GROUP,NAME,
BIZ,CCP_MEMBER_GROUP,HIER_BP_OPR_GRP_SNO,BIZ,CCP_MEMBER_GROUP,PARENTS_SEQ,
BIZ,CCP_MEMBER_GROUP,OPR_GRP_AUTH_LVL_CD,BIZ,CCP_MEMBER_GROUP,ACL,
BIZ,CCP_MEMBER_GROUP,DSCR_CN,BIZ,CCP_MEMBER_GROUP,EXPLANATION,
BIZ,CCP_MEMBER_GROUP,BP_SVC_GRP_ID,BIZ,CCP_MEMBER_GROUP,PORTAL_SERVICE_GROUP_ID,
BIZ,CCP_MEMBER_LOG,OPR_ACTV_REC_NO,BIZ,CCP_MEMBER_LOG,SEQ,
BIZ,CCP_MEMBER_LOG,LOG_REC_TYPE_CD,BIZ,CCP_MEMBER_LOG,CRUD,
BIZ,CCP_MEMBER_LOG,ACTV_URL,BIZ,CCP_MEMBER_LOG,ACTIVITY_URL,
BIZ,CCP_MEMBER_LOG,DSCR_CN,BIZ,CCP_MEMBER_LOG,EXPLANATION,
BIZ,CCP_MEMBER_LOG,IP_ADDR,BIZ,CCP_MEMBER_LOG,IP,
BIZ,CCP_MEMBER_LOG,SEVR_NM,BIZ,CCP_MEMBER_LOG,HOST,
BIZ,CCP_MEMBER_LOG,DATA_CRE_DTTM,BIZ,CCP_MEMBER_LOG,,"from_unixtime(to_unix_timestamp(REG_DATE, 'yyyy/MM/dd HH:mm:ss'))"
BIZ,CCP_MEMBER_LOG,BP_OPR_ID,BIZ,CCP_MEMBER_LOG,MEMBER_ID,
BIZ,CCP_MEMBER_LOG,pt_reg_dt,BIZ,CCP_MEMBER_LOG,,"translate(substr(REG_DATE,1,7),'/','')"
BIZ,CCP_PARTNER,PTN_ID,BIZ,CCP_PARTNER,PARTNER_ID,
BIZ,CCP_PARTNER,PTN_NM,BIZ,CCP_PARTNER,NAME,
BIZ,CCP_PARTNER,CON_PRCS_ST_CD,BIZ,CCP_PARTNER,STATUS,
BIZ,CCP_PARTNER,SYS_CRE_DTTM,BIZ,CCP_PARTNER,,"from_unixtime(to_unix_timestamp(REG_DATE, 'yyyy/MM/dd HH:mm:ss'))"
BIZ,CCP_PARTNER,SYS_UPD_DTTM,BIZ,CCP_PARTNER,,"from_unixtime(to_unix_timestamp(UPT_DATE, 'yyyy/MM/dd HH:mm:ss'))"
BIZ,CCP_PARTNER,BZNO,BIZ,CCP_PARTNER,BUSINESS_REG_NO,
BIZ,CCP_PARTNER,RSVT_DSB_PNT,BIZ,CCP_PARTNER,RESERVATION_POINT,
BIZ,CCP_PARTNER,RSVT_DSB_TRGT_WO_DSB_AMT,BIZ,CCP_PARTNER,RESERVATION_AMOUNT,
BIZ,CCP_PARTNER,ASP_ID,BIZ,CCP_PARTNER,ASP_ID,
BIZ,CCP_PARTNER,BP_SVC_GRP_ID,BIZ,CCP_PARTNER,PORTAL_SERVICE_GROUP_ID,
BIZ,CCP_PARTNER,ROLE_CD,BIZ,CCP_PARTNER,ROLE_CD,
BIZ,CCP_PARTNER,HIER_PTN_ID,BIZ,CCP_PARTNER,PARENT_PARTNER_ID,
BIZ,CCP_PARTNER,STTC_DATA_INQ_PTIM_STRT_DT,BIZ,CCP_PARTNER,SERVICE_START_DATE,
BIZ,CCP_PRODUCT,SVC_ID,BIZ,CCP_PRODUCT,SVC_ID,
BIZ,CCP_PRODUCT,AFC_CRD_PRD_SNO,BIZ,CCP_PRODUCT,SEQ,
BIZ,CCP_PRODUCT,ENTP_PTN_ID,BIZ,CCP_PRODUCT,PARTNER_ID,
BIZ,CCP_PRODUCT,ACHRG_YN,BIZ,CCP_PRODUCT,AUTO_RECHARGE_YN,
BIZ,CCP_PRODUCT,BIZ_RC_NO,BIZ,CCP_PRODUCT,AUTO_RECHARGER_SEQ,
BIZ,CCP_PRODUCT,ACHRG_FOM_CD,BIZ,CCP_PRODUCT,AUTO_RECHARGE_TYPE,
BIZ,CCP_PRODUCT,ACHRG_FXTM_UNIT_DV_CD,BIZ,CCP_PRODUCT,AUTO_RECHARGE_UNIT,
BIZ,CCP_PRODUCT,ACHRG_FXTM_CHRG_MM,BIZ,CCP_PRODUCT,AUTO_RECHARGE_DATE_MONTH,
BIZ,CCP_PRODUCT,ACHRG_BALA_CRI_AMT,BIZ,CCP_PRODUCT,AUTO_RECHARGE_BALANCE,
BIZ,CCP_PRODUCT,SYS_UPD_DTTM,BIZ,CCP_PRODUCT,,"from_unixtime(to_unix_timestamp(UPT_DATE, 'yyyy/MM/dd HH:mm:ss'))"
BIZ,CCP_PRODUCT,SYS_CRE_DTTM,BIZ,CCP_PRODUCT,,"from_unixtime(to_unix_timestamp(REG_DATE, 'yyyy/MM/dd HH:mm:ss'))"
BIZ,CCP_PRODUCT,USE_END_DTL_DTTM,BIZ,CCP_PRODUCT,,"from_unixtime(to_unix_timestamp(END_DATE, 'yyyy/MM/dd HH:mm:ss'))"
BIZ,CCP_PRODUCT,BIZ_CRD_USE_ST_CD,BIZ,CCP_PRODUCT,USE_STATUS,
BIZ,CCP_PRODUCT,ACHRG_FXTM_CHRG_DD,BIZ,CCP_PRODUCT,AUTO_RECHARGE_DATE_DAY,
BIZ,CCP_PRODUCT,ACHRG_AMT,BIZ,CCP_PRODUCT,AUTO_RECHARGE_AMOUNT,
BIZ,CCP_PRODUCT,ACHRG_LMT_AMT,BIZ,CCP_PRODUCT,AUTO_RECHARGE_LIMIT_AMOUNT,
BIZ,CCP_PRODUCT,ORT_TYPE_CD,BIZ,CCP_PRODUCT,OPERATION_TYPE,
BIZ,CCP_PRODUCT,CORP_SVC_AL_TYPE_CD,BIZ,CCP_PRODUCT,AFFILIATE_TYPE,
BIZ,CCP_PRODUCT,BP_SVC_GRP_ID,BIZ,CCP_PRODUCT,PORTAL_SERVICE_GROUP_ID,
BIZ,CCP_PRODUCT,SNDNG_TYPE_CD,BIZ,CCP_PRODUCT,SHIPPING_TYPE,
BIZ,CCP_PRODUCT,BSC_PTN_YN,BIZ,CCP_PRODUCT,DEFAULT_PARTNER_YN,
BIZ,CCP_PRODUCT_MANAGER,BP_OPR_ID,BIZ,CCP_PRODUCT_MANAGER,MEMBER_ID,
BIZ,CCP_PRODUCT_MANAGER,AFC_CRD_PRD_SNO,BIZ,CCP_PRODUCT_MANAGER,PRODUCT_SEQ,
BIZ,CCP_PRODUCT_MANAGER,AMT_MGMT_AUTH_YN,BIZ,CCP_PRODUCT_MANAGER,AUTHORITY_PRICE_YN,
BIZ,CCP_PRODUCT_MANAGER,APV_AUTH_YN,BIZ,CCP_PRODUCT_MANAGER,AUTHORITY_APPROVAL_YN,
BIZ,CCP_PRODUCT_MANAGER,SYS_CRE_DTTM,BIZ,CCP_PRODUCT_MANAGER,,"from_unixtime(unix_timestamp(REG_DATE, 'yyyy/MM/dd HH:mm:ss'))"
BIZ,CCP_PRODUCT_MANAGER,SYS_UPD_DTTM,BIZ,CCP_PRODUCT_MANAGER,,"from_unixtime(unix_timestamp(UPT_DATE, 'yyyy/MM/dd HH:mm:ss'))"
BIZ,CCP_PRODUCT_MANAGER,CRD_PNT_PLCY_ID,BIZ,CCP_PRODUCT_MANAGER,CARDCASH_POLICY_ID,
BIZ,CCP_PRODUCT_MANAGER,CRD_CASH_PLCY_NM,BIZ,CCP_PRODUCT_MANAGER,CARDCASH_POLICY_NAME,
BIZ,CCP_PRODUCT_MANAGER,CRD_CASH_PLCY_TYPE_CD,BIZ,CCP_PRODUCT_MANAGER,CARDCASH_POLICY_TYPE,
BIZ,CCP_PRODUCT_MANAGER,SUB_CRD_CASH_PLCY_TYPE_CD,BIZ,CCP_PRODUCT_MANAGER,CARDCASH_POLICY_SUBTYPE,
BIZ,CCP_PRODUCT_MANAGER,GE_MBR_REG_AUTH_YN,BIZ,CCP_PRODUCT_MANAGER,ACCEPTED_GENERAL_MEMBER_YN,
BIZ,CCP_RECHARGER,ENTP_PTN_ID,BIZ,CCP_RECHARGER,PARTNER_ID,
BIZ,CCP_RECHARGER,BIZ_RC_SNO,BIZ,CCP_RECHARGER,SEQ,
BIZ,CCP_RECHARGER,RC_ID,BIZ,CCP_RECHARGER,PLAYER_ID,
BIZ,CCP_RECHARGER,BP_SVC_GRP_ID,BIZ,CCP_RECHARGER,PORTAL_SERVICE_GROUP_ID,
BIZ,CCP_RECHARGER,SYS_CRE_DTTM,BIZ,CCP_RECHARGER,,"from_unixtime(unix_timestamp(SYS_CRE_DTTM, 'yyyy/MM/dd HH:mm:ss'))"
BIZ,CCP_RECHARGER,SYS_UPD_DTTM,BIZ,CCP_RECHARGER,,"from_unixtime(unix_timestamp(SYS_UPD_DTTM, 'yyyy/MM/dd HH:mm:ss'))"
BIZ,RCS_APPMEMBER_REG_HISTORY,PTN_ID,BIZ,RCS_APPMEMBER_REG_HISTORY,PARTNER_ID,
BIZ,RCS_APPMEMBER_REG_HISTORY,WRT_OPR_ID,BIZ,RCS_APPMEMBER_REG_HISTORY,MEMBER_ID,
BIZ,RCS_APPMEMBER_REG_HISTORY,MBR_ID,BIZ,RCS_APPMEMBER_REG_HISTORY,WALLET_USER_ID,
BIZ,RCS_APPMEMBER_REG_HISTORY,DATA_CRE_DTTM,BIZ,RCS_APPMEMBER_REG_HISTORY,,"from_unixtime(unix_timestamp(REG_DATE, 'yyyy/MM/dd HH:mm:ss'))"
BIZ,RCS_APPMEMBER_REG_HISTORY,BP_SVC_GRP_ID,BIZ,RCS_APPMEMBER_REG_HISTORY,PORTAL_SERVICE_GROUP_ID,
BIZ,RCS_APPMEMBER_REG_HISTORY,OFL_SLL_PO_REG_MBR_HIST_SNO,BIZ,RCS_APPMEMBER_REG_HISTORY,SEQ,
BIZ,RCS_APPMEMBER_REG_HISTORY,SYS_CRE_DTTM,BIZ,RCS_APPMEMBER_REG_HISTORY,,"from_unixtime(unix_timestamp(SYS_CRE_DTTM, 'yyyy/MM/dd HH:mm:ss'))"
BIZ,RCS_APPMEMBER_REG_HISTORY,SYS_UPD_DTTM,BIZ,RCS_APPMEMBER_REG_HISTORY,,"from_unixtime(unix_timestamp(SYS_UPD_DTTM, 'yyyy/MM/dd HH:mm:ss'))"
BIZ,RCS_APPMEMBER_REG_HISTORY,pt_cre_dt,BIZ,RCS_APPMEMBER_REG_HISTORY,,"translate(translate(substr(REG_DATE,1,8),'/',''),'-','')"
BIZ,RCS_BONBU,HDQ_KA_ID,BIZ,RCS_BONBU,BONBU_ID,
BIZ,RCS_BONBU,HDQ_KA_NM,BIZ,RCS_BONBU,NAME,
BIZ,RCS_BONBU,CON_PRCS_ST_CD,BIZ,RCS_BONBU,STATUS,
BIZ,RCS_BONBU,SYS_CRE_DTTM,BIZ,RCS_BONBU,,"from_unixtime(unix_timestamp(REG_DATE, 'yyyy/MM/dd HH:mm:ss'))"
BIZ,RCS_BONBU,SYS_UPD_DTTM,BIZ,RCS_BONBU,,"from_unixtime(unix_timestamp(UPT_DATE, 'yyyy/MM/dd HH:mm:ss'))"
BIZ,RCS_BONBU,BZNO,BIZ,RCS_BONBU,BUSINESS_REG_NO,
BIZ,RCS_BONBU,ASP_ID,BIZ,RCS_BONBU,ASP_ID,
BIZ,RCS_BONBU,BP_SVC_GRP_ID,BIZ,RCS_BONBU,PORTAL_SERVICE_GROUP_ID,
BIZ,RCS_BONBU,ASP_NM,BIZ,RCS_BONBU,ASP_NAME,
BIZ,RCS_BONBU,KA_ID,BIZ,RCS_BONBU,KA_ID,
BIZ,RCS_BONBU,KA_NM,BIZ,RCS_BONBU,KA_NAME,
BIZ,RCS_BONBU,ADMD_CD,BIZ,RCS_BONBU,ADMIN_CODE,
BIZ,RCS_BONBU,LGLD_CD,BIZ,RCS_BONBU,LEGAL_CODE,
BIZ,RCS_BONBU_MAPPING,HDQ_KA_ID,BIZ,RCS_BONBU_MAPPING,BONBU_ID,
BIZ,RCS_BONBU_MAPPING,MAPNG_ID,BIZ,RCS_BONBU_MAPPING,SEQ,
BIZ,RCS_BONBU_MAPPING,PTN_ID,BIZ,RCS_BONBU_MAPPING,PARTNER_ID,
BIZ,RCS_BONBU_MAPPING,BP_SVC_GRP_ID,BIZ,RCS_BONBU_MAPPING,PORTAL_SERVICE_GROUP_ID,
BIZ,RCS_BONBU_MAPPING,SYS_CRE_DTTM,BIZ,RCS_BONBU_MAPPING,,"from_unixtime(unix_timestamp(SYS_CRE_DTTM, 'yyyy/MM/dd HH:mm:ss'))"
BIZ,RCS_BONBU_MAPPING,SYS_UPD_DTTM,BIZ,RCS_BONBU_MAPPING,,"from_unixtime(unix_timestamp(SYS_UPD_DTTM, 'yyyy/MM/dd HH:mm:ss'))"
BIZD,contract,LGFT_MC_APL_SNO,BIZD,contract,ID,
BIZD,contract,BZNO,BIZD,contract,BIZ_NUMBER,
BIZD,contract,REP_BZPL_NM,BIZD,contract,MERCHANT_NAME,
BIZD,contract,BZPL_ADDR,BIZD,contract,ADDRESS,
BIZD,contract,BZTP_CD_AND_BZTP_NM,BIZD,contract,BIZ_TYPE_AND_NAME,
BIZD,contract,SIGN_IMG_CN,BIZD,contract,SIGNATURE_IMG,
BIZD,contract,DMC_APL_YN,BIZD,contract,WANNA_BE_KONA_YN,
BIZD,contract,APL_DTTM,BIZD,contract,,"from_unixtime(unix_timestamp(REG_DT, 'yyyy/MM/dd HH:mm:ss'))"
BIZD,contract,PSNO,BIZD,contract,ZIP_CODE,
BIZD,contract,SIDO_NM,BIZD,contract,SI,
BIZD,contract,SGG_NM,BIZD,contract,SGG,
BIZD,contract,ACQR_DV_CD,BIZD,contract,MERCHANT_TYPE,
BIZD,contract,SIDO_CD,BIZD,contract,GROUP_ID,
BIZD,contract,SGG_CD,BIZD,contract,OWNER,
BIZD,contract,KA_ID,BIZD,contract,KA_ID,
BIZD,contract,POFN_PHN_NO,BIZD,contract,TEL1,
BIZD,contract,BPOS_PHN_NO,BIZD,contract,TEL2,
BIZD,contract,ENC_APLP_BRTH_DT,BIZD,contract,SOCIAL_NO,
BIZD,contract,SEX_CD,BIZD,contract,SEX,
BIZD,contract,CHG_ST_CD,BIZD,contract,TMS_STATUS,
BIZD,contract,PRCS_ST_CD,BIZD,contract,STATUS,
BIZD,contract,PRCS_ST_DTL_CD,BIZD,contract,STATUS_DETAIL,
BIZD,contract,MC_ID,BIZD,contract,MERCHANT_ID,
BIZD,contract,APL_TYPE_CD,BIZD,contract,REG_TYPE,
BIZD,contract,ACQR_INFO_SAVE_DT,BIZD,contract,,"from_unixtime(unix_timestamp(EXTINFO_DT, 'yyyy/MM/dd HH:mm:ss'))"
BIZD,contract,BC_BANK_CD,BIZD,contract,BANK_CODE,
BIZD,contract,BC_BANK_NM,BIZD,contract,BANK_NAME,
BIZD,contract,STLM_PSBL_MC_YN,BIZD,contract,CANPAY_YN,
BIZD,contract,STLM_PSBL_MC_VLDN_DTTM,BIZD,contract,,"from_unixtime(unix_timestamp(CANPAY_DT, 'yyyy/MM/dd HH:mm:ss'))"
BIZD,contract,BC_ACQR_BAT_ID,BIZD,contract,EXTINFO_TRNS_UNIQ_NO,
BIZD,contract,SUB_REG_TYPE_CD,BIZD,contract,REG_TYPE_SUB,
BIZD,contract,TRNSF_TRGT_CN,BIZD,contract,MIGRATION_TARGET,
BIZD,contract,CPPN_YN,BIZD,contract,PRIVATE_TERM_YN,
BIZD,contract,KB_ACQR_BAT_ID,BIZD,contract,EXTINFO_KB_SEQ_NO,
BIZD,contract,KB_ACQR_BAT_DTTM,BIZD,contract,,"from_unixtime(unix_timestamp(EXTINFO_KB_DT, 'yyyy/MM/dd HH:mm:ss'))"
BIZD,contract,KB_BANK_CD,BIZD,contract,EXTINFO_BANK_CODE,
BIZD,contract,KB_BANK_NM,BIZD,contract,EXTINFO_BANK_NAME,
BIZD,contract,TRNSF_FAIL_RSN_CN,BIZD,contract,MIGRATION_REASON,
BIZD,contract,BID,BIZD,contract,BID,
BIZD,contract,QR_MC_APL_YN,BIZD,contract,QR_MERCHANT_YN,
BIZD,contract,BSRGC_FILE_NM,BIZD,contract,BIZ_LIC_FILENAME,
BIZD,contract,BSRGC_FILE_PTH_NM,BIZD,contract,BIZ_LIC_FILEPATH,
BIZD,contract,BNKB_CPY_FILE_NM,BIZD,contract,ACCOUNT_FILENAME,
BIZD,contract,BNKB_CPY_FILE_PTH_NM,BIZD,contract,ACCOUNT_FILEPATH,
BIZD,contract,EPG_MC_ADD_APL_YN,BIZD,contract,DISCOUNT_MERCHANT_YN,
BIZD,contract,BNF_MC_DCRT,BIZD,contract,DISCOUNT_VALUE,
BIZD,contract,MC_REG_RJCT_RSN_CN,BIZD,contract,REJECT_REASON,
BIZD,contract,RAPL_YN,BIZD,contract,RE_REQUEST,
BIZD,contract,MC_REG_CNCL_RSN_CN,BIZD,contract,CANCEL_REASON,
BIZD,contract,MC_REG_DT,BIZD,contract,,"from_unixtime(unix_timestamp(APPROVAL_DT, 'yyyy/MM/dd HH:mm:ss'))"
BIZD,contract,ELC_CON_APL_NO,BIZD,contract,ESIGN_APLCT_NO,
BIZD,contract,SYS_CRE_DTTM,BIZD,contract,,"from_unixtime(unix_timestamp(SYS_CRE_DTTM, 'yyyy/MM/dd HH:mm:ss'))"
BIZD,contract,SYS_CRE_ID,BIZD,contract,SYS_CRE_ID,
BIZD,contract,SYS_UPD_DTTM,BIZD,contract,,"from_unixtime(unix_timestamp(SYS_UPD_DTTM, 'yyyy/MM/dd HH:mm:ss'))"
BIZD,contract,SYS_UPD_ID,BIZD,contract,SYS_UPD_ID,
BIZD,CONTRACT_HISTORY,LGFT_MC_APV_SNO,BIZD,CONTRACT_HISTORY,HISTORY_ID,
BIZD,CONTRACT_HISTORY,MC_RGNO,BIZD,CONTRACT_HISTORY,CONTRACT_ID,
BIZD,CONTRACT_HISTORY,MC_REG_ST_CD,BIZD,CONTRACT_HISTORY,CONTRACT_STATUS,
BIZD,CONTRACT_HISTORY,CGP_SNO,BIZD,CONTRACT_HISTORY,WRITER_ID,
BIZD,CONTRACT_HISTORY,DATA_CRE_DTTM,BIZD,CONTRACT_HISTORY,,"from_unixtime(to_unix_timestamp(CREATE_DT, 'yyyy/MM/dd HH:mm:ss'))"
BIZD,CONTRACT_HISTORY,SYS_UPD_DTTM,BIZD,CONTRACT_HISTORY,,"from_unixtime(to_unix_timestamp(sys_upd_dttm, 'yyyy/MM/dd HH:mm:ss'))"
BIZD,CONTRACT_HISTORY,pt_cre_dt,BIZD,CONTRACT_HISTORY,,"translate(translate(substr(CREATE_DT,1,10),'/',''),'-','')"
BIZD,CONTRACT_MERCHANT,LGFT_REG_MC_SNO,BIZD,CONTRACT_MERCHANT,ID,
BIZD,CONTRACT_MERCHANT,SIDO_CD,BIZD,CONTRACT_MERCHANT,GROUP_ID,
BIZD,CONTRACT_MERCHANT,SGG_CD,BIZD,CONTRACT_MERCHANT,OWNER,
BIZD,CONTRACT_MERCHANT,LGFT_MC_APL_SNO,BIZD,CONTRACT_MERCHANT,CONTRACT_ID,
BIZD,CONTRACT_MERCHANT,BZNO,BIZD,CONTRACT_MERCHANT,BIZ_NUMBER,
BIZD,CONTRACT_MERCHANT,MC_ID,BIZD,CONTRACT_MERCHANT,MERCHANT_ID,
BIZD,CONTRACT_MERCHANT,MC_VRFC_ST_CD,BIZD,CONTRACT_MERCHANT,STATUS_DETAIL,
BIZD,CONTRACT_MERCHANT,MC_REG_TYPE_CD,BIZD,CONTRACT_MERCHANT,REG_TYPE_SUB,
BIZD,CONTRACT_MERCHANT,SYS_UPD_DTTM,BIZD,CONTRACT_MERCHANT,,"from_unixtime(unix_timestamp(UPDATE_DT, 'yyyy/MM/dd HH:mm:ss'))"
BIZD,CONTRACT_MERCHANT,MC_USEP_APV_DT,BIZD,CONTRACT_MERCHANT,,"from_unixtime(unix_timestamp(APPROVAL_DT, 'yyyy/MM/dd HH:mm:ss'))"
BIZD,CONTRACT_MERCHANT,MC_USEP_APV_ST_CD,BIZD,CONTRACT_MERCHANT,STATUS,
BIZD,CONTRACT_MERCHANT,MC_VRFC_REG_DT,BIZD,CONTRACT_MERCHANT,,"from_unixtime(unix_timestamp(REG_DT, 'yyyy/MM/dd HH:mm:ss'))"
